tree,type,m,n,run,comparisons
btree,ordered,2,10000,0,18
btree,ordered,2,20000,0,20
btree,ordered,2,30000,0,20
btree,ordered,2,40000,0,22
btree,ordered,2,50000,0,18
btree,ordered,2,60000,0,22
btree,ordered,2,70000,0,20
btree,ordered,2,80000,0,20
btree,ordered,2,90000,0,22
btree,ordered,2,100000,0,20
btree,ordered,4,10000,0,24
btree,ordered,4,20000,0,28
btree,ordered,4,30000,0,28
btree,ordered,4,40000,0,28
btree,ordered,4,50000,0,28
btree,ordered,4,60000,0,28
btree,ordered,4,70000,0,32
btree,ordered,4,80000,0,32
btree,ordered,4,90000,0,28
btree,ordered,4,100000,0,32
btree,ordered,6,10000,0,34
btree,ordered,6,20000,0,38
btree,ordered,6,30000,0,48
btree,ordered,6,40000,0,46
btree,ordered,6,50000,0,44
btree,ordered,6,60000,0,42
btree,ordered,6,70000,0,40
btree,ordered,6,80000,0,50
btree,ordered,6,90000,0,48
btree,ordered,6,100000,0,52
